UID	Category	Snippet
huggingface|transformers|setup.py|000	Class	"class DepsTableUpdateCommand(Command):
    """"""
    A custom distutils command that updates the dependency table.
    usage: python setup.py deps_table_update
    """"""
"
huggingface|transformers|setup.py|001	Function	"def deps_list(*pkgs):
    return [deps[pkg] for pkg in pkgs]
"
huggingface|transformers|setup.py|002	Function	"    def initialize_options(self):
        pass
"
huggingface|transformers|setup.py|003	Function	"    def finalize_options(self):
        pass
"
huggingface|transformers|setup.py|004	Function	"    def run(self):
        entries = ""\n"".join([f'    ""{k}"": ""{v}"",' for k, v in deps.items()])
        content = [
            ""# THIS FILE HAS BEEN AUTOGENERATED. To update:"",
            ""# 1. modify the `_deps` dict in setup.py"",
            ""# 2. run `make deps_table_update``"",
            ""deps = {"",
            entries,
            ""}"",
            """",
        ]
        target = ""src/transformers/dependency_versions_table.py""
        print(f""updating {target}"")
        with open(target, ""w"", encoding=""utf-8"", newline=""\n"") as f:
            f.write(""\n"".join(content))
"
huggingface|transformers|create_circleci_config.py|000	Class	"class CircleCIJob:
    name: str
    additional_env: Dict[str, Any] = None
    cache_name: str = None
    cache_version: str = ""0.6""
    docker_image: List[Dict[str, str]] = None
    install_steps: List[str] = None
    marker: Optional[str] = None
    parallelism: Optional[int] = 1
    pytest_num_workers: int = 8
    pytest_options: Dict[str, Any] = None
    resource_class: Optional[str] = ""xlarge""
    tests_to_run: Optional[List[str]] = None
    working_directory: str = ""~/transformers""
"
huggingface|transformers|create_circleci_config.py|001	Function	"    def __post_init__(self):
        # Deal with defaults for mutable attributes.
        if self.additional_env is None:
            self.additional_env = {}
        if self.cache_name is None:
            self.cache_name = self.name
        if self.docker_image is None:
            # Let's avoid changing the default list and make a copy.
            self.docker_image = copy.deepcopy(DEFAULT_DOCKER_IMAGE)
        if self.install_steps is None:
            self.install_steps = []
        if self.pytest_options is None:
            self.pytest_options = {}
        if isinstance(self.tests_to_run, str):
            self.tests_to_run = [self.tests_to_run]
        if self.parallelism is None:
            self.parallelism = 1
"
huggingface|transformers|create_circleci_config.py|002	Function	"    def to_dict(self):
        env = COMMON_ENV_VARIABLES.copy()
        env.update(self.additional_env)
        job = {
            ""working_directory"": self.working_directory,
            ""docker"": self.docker_image,
            ""environment"": env,
        }
        if self.resource_class is not None:
            job[""resource_class""] = self.resource_class
        if self.parallelism is not None:
            job[""parallelism""] = self.parallelism
        steps = [
            ""checkout"",
            {""attach_workspace"": {""at"": ""~/transformers/test_preparation""}},
            {
                ""restore_cache"": {
                    ""keys"": [
                        f""v{self.cache_version}-{self.cache_name}-"" + '{{ checksum ""setup.py"" }}',
                        f""v{self.cache_version}-{self.cache_name}-"",
                    ]
                }
            },
        ]
        steps.extend([{""run"": l} for l in self.install_steps])
        steps.append(
            {
                ""save_cache"": {
                    ""key"": f""v{self.cache_version}-{self.cache_name}-"" + '{{ checksum ""setup.py"" }}',
                    ""paths"": [""~/.cache/pip""],
                }
            }
        )
        steps.append({""run"": {""name"": ""Show installed libraries and their versions"", ""command"": ""pip freeze | tee installed.txt""}})
        steps.append({""store_artifacts"": {""path"": ""~/transformers/installed.txt""}})
"
huggingface|transformers|create_circleci_config.py|003	Function	"    def job_name(self):
        return self.name if ""examples"" in self.name else f""tests_{self.name}""
"
huggingface|transformers|create_circleci_config.py|004	Function	"def create_circleci_config(folder=None):
    if folder is None:
        folder = os.getcwd()
    # Used in CircleCIJob.to_dict() to expand the test list (for using parallelism)
    os.environ[""test_preparation_dir""] = folder
    jobs = []
    all_test_file = os.path.join(folder, ""test_list.txt"")
    if os.path.exists(all_test_file):
        with open(all_test_file) as f:
            all_test_list = f.read()
    else:
        all_test_list = []
    if len(all_test_list) > 0:
        jobs.extend(PIPELINE_TESTS)
"
huggingface|transformers|conftest.py|000	Class	"class CustomOutputChecker(OutputChecker):
    def check_output(self, want, got, optionflags):
        if IGNORE_RESULT & optionflags:
            return True
        return OutputChecker.check_output(self, want, got, optionflags)
"
